term_id,item_id,label,src
TERM_96a1d801,ITEM_147557626031,1,llm_recovered_positive
TERM_96a1d801,ITEM_1c0a69aec38b,0,llm_verified_negative
TERM_96a1d801,ITEM_a951df44bc62,0,llm_verified_negative
TERM_96a1d801,ITEM_5c749536e795,0,llm_verified_negative
TERM_96a1d801,ITEM_26ae1fa53dba,0,llm_verified_negative
TERM_efd883e2,ITEM_38fde904af64,0,llm_verified_negative
TERM_efd883e2,ITEM_3eb1d4d3365d,0,llm_verified_negative
TERM_efd883e2,ITEM_2d78839caeb0,0,llm_verified_negative
TERM_efd883e2,ITEM_4997490235a4,0,llm_verified_negative
TERM_efd883e2,ITEM_e0a4885d902d,0,llm_verified_negative
TERM_3bdd3b2f,ITEM_fd5380f5a7f7,1,llm_recovered_positive
TERM_3bdd3b2f,ITEM_91375f304efa,1,llm_recovered_positive
TERM_3bdd3b2f,ITEM_4509d31ceb11,1,llm_recovered_positive
TERM_3bdd3b2f,ITEM_4044490704ca,1,llm_recovered_positive
TERM_3bdd3b2f,ITEM_4ec7922b9b76,1,llm_recovered_positive
TERM_c290d469,ITEM_aae33d09ff0f,1,llm_recovered_positive
TERM_c290d469,ITEM_9ef2eea0aa69,1,llm_recovered_positive
TERM_c290d469,ITEM_b5339a1df062,1,llm_recovered_positive
TERM_c290d469,ITEM_6dcc72080eeb,1,llm_recovered_positive
TERM_c290d469,ITEM_fcc7c3d508b0,1,llm_recovered_positive
TERM_548ff15c,ITEM_8c8ee9086c6f,1,llm_recovered_positive
TERM_548ff15c,ITEM_5cc1a98ac762,1,llm_recovered_positive
TERM_548ff15c,ITEM_b73ba4dd6733,1,llm_recovered_positive
TERM_548ff15c,ITEM_9ef121dcb7d4,1,llm_recovered_positive
TERM_548ff15c,ITEM_374d876510f8,1,llm_recovered_positive
TERM_aca2af95,ITEM_4fd123d756ba,1,llm_recovered_positive
TERM_aca2af95,ITEM_e46f42544101,1,llm_recovered_positive
TERM_aca2af95,ITEM_457c2434fa9a,1,llm_recovered_positive
TERM_aca2af95,ITEM_a58e8382407c,1,llm_recovered_positive
TERM_aca2af95,ITEM_e50bfb310e72,1,llm_recovered_positive
TERM_77aebed1,ITEM_e94be4695dc4,1,llm_recovered_positive
TERM_77aebed1,ITEM_10b4d709d834,1,llm_recovered_positive
TERM_77aebed1,ITEM_6c80ea9c5867,1,llm_recovered_positive
TERM_77aebed1,ITEM_fb4648eba342,1,llm_recovered_positive
TERM_77aebed1,ITEM_256891454a95,1,llm_recovered_positive
TERM_beb272d3,ITEM_e545c2252961,1,llm_recovered_positive
TERM_beb272d3,ITEM_5aaa0c205ac0,1,llm_recovered_positive
TERM_beb272d3,ITEM_eda812cd2c75,1,llm_recovered_positive
TERM_beb272d3,ITEM_58373e5e228d,1,llm_recovered_positive
TERM_beb272d3,ITEM_11aea1f126a0,1,llm_recovered_positive
TERM_13ffb2cc,ITEM_32480d54b3db,1,llm_recovered_positive
TERM_13ffb2cc,ITEM_10ebd90dac64,1,llm_recovered_positive
TERM_13ffb2cc,ITEM_8d401c14b75f,1,llm_recovered_positive
TERM_13ffb2cc,ITEM_ee765e8c3008,1,llm_recovered_positive
TERM_13ffb2cc,ITEM_c7953ddd45a5,1,llm_recovered_positive
TERM_627af5bc,ITEM_57077ccd3c8a,1,llm_recovered_positive
TERM_627af5bc,ITEM_63e26ba2de3b,0,llm_verified_negative
TERM_627af5bc,ITEM_51897adbdf12,1,llm_recovered_positive
TERM_627af5bc,ITEM_4f8effbd402a,1,llm_recovered_positive
TERM_627af5bc,ITEM_42cd82cb09d5,1,llm_recovered_positive
TERM_93299abb,ITEM_930a5cb61f1e,1,llm_recovered_positive
TERM_93299abb,ITEM_a9d72f4b85c8,1,llm_recovered_positive
TERM_93299abb,ITEM_e95e8e937b62,1,llm_recovered_positive
TERM_93299abb,ITEM_034be25641ed,1,llm_recovered_positive
TERM_93299abb,ITEM_fb4e89f3639a,1,llm_recovered_positive
TERM_3d9dff6f,ITEM_2956391cdf58,1,llm_recovered_positive
TERM_3d9dff6f,ITEM_ac10a7641267,1,llm_recovered_positive
TERM_3d9dff6f,ITEM_1a14ca7444f8,1,llm_recovered_positive
TERM_3d9dff6f,ITEM_5ae0a3122506,1,llm_recovered_positive
TERM_3d9dff6f,ITEM_3ee71cd61181,1,llm_recovered_positive
TERM_c655491f,ITEM_bc6c026829ab,1,llm_recovered_positive
TERM_c655491f,ITEM_b5d80634ace7,1,llm_recovered_positive
TERM_c655491f,ITEM_1fe19fe5a2f0,1,llm_recovered_positive
TERM_c655491f,ITEM_9a6bee386461,1,llm_recovered_positive
TERM_c655491f,ITEM_c635af565965,1,llm_recovered_positive
TERM_e870d482,ITEM_b4d8663b1a6f,1,llm_recovered_positive
TERM_e870d482,ITEM_25e4b08c0320,1,llm_recovered_positive
TERM_e870d482,ITEM_a7da8b4dacfe,1,llm_recovered_positive
TERM_e870d482,ITEM_0d83eda360e2,1,llm_recovered_positive
TERM_e870d482,ITEM_1c43e5e07961,1,llm_recovered_positive
TERM_2378beed,ITEM_a11e24989061,1,llm_recovered_positive
TERM_2378beed,ITEM_eaf7e1de24b8,1,llm_recovered_positive
TERM_2378beed,ITEM_3ce7e10bea9d,1,llm_recovered_positive
TERM_2378beed,ITEM_79bd74acd2d8,0,llm_verified_negative
TERM_2378beed,ITEM_b9b72f067c39,0,llm_verified_negative
TERM_85ea1a76,ITEM_832eb60fedfa,0,llm_verified_negative
TERM_85ea1a76,ITEM_0e694475035c,1,llm_recovered_positive
TERM_85ea1a76,ITEM_32d16d480e6e,1,llm_recovered_positive
TERM_85ea1a76,ITEM_f4352a6b8e5b,1,llm_recovered_positive
TERM_85ea1a76,ITEM_84baaaccb3c1,1,llm_recovered_positive
TERM_dbc331f7,ITEM_328adadd3fa6,1,llm_recovered_positive
TERM_dbc331f7,ITEM_03f5cd3886d5,1,llm_recovered_positive
TERM_dbc331f7,ITEM_4b1b20e3a31e,1,llm_recovered_positive
TERM_dbc331f7,ITEM_d8aeff8081ef,1,llm_recovered_positive
TERM_dbc331f7,ITEM_071bdc457c3e,1,llm_recovered_positive
TERM_216d3d68,ITEM_b67bd83c3fb0,1,llm_recovered_positive
TERM_216d3d68,ITEM_a095af67be43,0,llm_verified_negative
TERM_216d3d68,ITEM_965d79cdd262,0,llm_verified_negative
TERM_216d3d68,ITEM_9272567e61fc,0,llm_verified_negative
TERM_216d3d68,ITEM_70f9a7abf186,1,llm_recovered_positive
TERM_bd8fc5df,ITEM_56d44bd12d59,1,llm_recovered_positive
TERM_bd8fc5df,ITEM_85409891f6d7,1,llm_recovered_positive
TERM_bd8fc5df,ITEM_cc90ee97e8e7,1,llm_recovered_positive
TERM_bd8fc5df,ITEM_f2f680190f1a,1,llm_recovered_positive
TERM_bd8fc5df,ITEM_f4ea02609f01,1,llm_recovered_positive
TERM_032a5ab7,ITEM_00e3e66ce6a5,1,llm_recovered_positive
TERM_032a5ab7,ITEM_a04d12afe86c,1,llm_recovered_positive
TERM_032a5ab7,ITEM_578cedbb83c2,1,llm_recovered_positive
TERM_032a5ab7,ITEM_bea9792d6797,1,llm_recovered_positive
TERM_032a5ab7,ITEM_e6d1ea64f690,1,llm_recovered_positive
TERM_e623933a,ITEM_7ace214877b0,0,llm_verified_negative
TERM_e623933a,ITEM_daf8f0275390,0,llm_verified_negative
TERM_e623933a,ITEM_3288765a5253,0,llm_verified_negative
TERM_e623933a,ITEM_d2c3fc78aa79,1,llm_recovered_positive
TERM_e623933a,ITEM_24994d09afc6,0,llm_verified_negative
TERM_8a8f0778,ITEM_59a6a98ff9ad,1,llm_recovered_positive
TERM_8a8f0778,ITEM_77bbd0f7711c,1,llm_recovered_positive
TERM_8a8f0778,ITEM_c848e1e61125,1,llm_recovered_positive
TERM_8a8f0778,ITEM_27fe54b88a16,1,llm_recovered_positive
TERM_8a8f0778,ITEM_6d73d17683ca,1,llm_recovered_positive
TERM_59b35a68,ITEM_3a885369a2ed,1,llm_recovered_positive
TERM_59b35a68,ITEM_9e9427a67fda,1,llm_recovered_positive
TERM_59b35a68,ITEM_714ee2b279ec,1,llm_recovered_positive
TERM_59b35a68,ITEM_c1f34f4bce73,1,llm_recovered_positive
TERM_59b35a68,ITEM_bd95ba54bd03,1,llm_recovered_positive
TERM_8881140e,ITEM_a444f29e4590,1,llm_recovered_positive
TERM_8881140e,ITEM_859919d00a6d,1,llm_recovered_positive
TERM_8881140e,ITEM_9a0f40ac03bb,1,llm_recovered_positive
TERM_8881140e,ITEM_aab7f4e1c6fc,1,llm_recovered_positive
TERM_8881140e,ITEM_1655a90f3704,1,llm_recovered_positive
TERM_eaa402aa,ITEM_dbff8dc16f34,1,llm_recovered_positive
TERM_eaa402aa,ITEM_ab4582c38932,1,llm_recovered_positive
TERM_eaa402aa,ITEM_9af2de49654f,1,llm_recovered_positive
TERM_eaa402aa,ITEM_497f8e66ea4a,1,llm_recovered_positive
TERM_eaa402aa,ITEM_6cbddde2f3dd,1,llm_recovered_positive
TERM_5406e2e2,ITEM_db3057e7749c,1,llm_recovered_positive
TERM_5406e2e2,ITEM_667f4277946b,1,llm_recovered_positive
