pair_id,term_id,item_id,query,title,brand,category,gender,age_group,attributes_short,cosine
7350,TERM_f649e80c,ITEM_e035e5301585,kadın hamile alt - üst takım,hamile bol paça beli ayarlanabilir gömlek takım mintyeşili,busa,giyim/hamile giyim/hamile alt - üst takım,kadın,yetişkin,desen:düz; kalıp:regular; yaka tipi:gömlek yaka; kumaş tipi:dokuma,0.8311
7351,TERM_f649e80c,ITEM_14d241babf44,kadın hamile alt - üst takım,hamile ve lohusa uzun kol v yaka alt üst takım,miss dünya lissa,giyim/hamile giyim/hamile alt - üst takım,kadın,yetişkin,desen:düz; kalıp:relaxed; yaka tipi:v yaka; kumaş tipi:dokuma,0.8159
7352,TERM_f649e80c,ITEM_5adeadfa1dd9,kadın hamile alt - üst takım,kısa kol oversize tshirt çizgili pantolon hamile ve lohusa alt üst takım,miss dünya lissa,giyim/hamile giyim/hamile alt - üst takım,kadın,yetişkin,desen:çizgili; kalıp:oversize; yaka tipi:bisiklet yaka; kumaş tipi:örme,0.8089
7353,TERM_d9aa1978,ITEM_d5e7944be65b,küçük kutu,"plastik şeffaf küçük kutu (4,5cm x 4,5 cm x 2,5 cm) 8 adet",steel plastik,ev & mobilya/ev/ev gereçleri/depolama&düzenleme ürünleri/saklama kutusu,unknown,unknown,materyal:plastik; parça sayısı:belirtilmemiş; boyut/ebat:45 x 45; renk:beyaz,0.7414
7354,TERM_d9aa1978,ITEM_bdcdd81f370a,küçük kutu,"karton kutu 1 adet siyah küçük sert hediye kutusu (en 10*boy 14*yükseklik 3,8 cm)",carton box,hobi & eğlence/hediyelik ürünler/hediye kutusu,unknown,unknown,,0.7093
7355,TERM_d9aa1978,ITEM_66db363c01dc,küçük kutu,"karton kutu 1 adet küçük kraft kapak beyaz kırmızı çizgili sert hediye kutusu 9,5cmx9,5cmx11,5cm",carton box,hobi & eğlence/hediyelik ürünler/hediye kutusu,unknown,unknown,,0.6918
7356,TERM_d9aa1978,ITEM_8a80eaa75a8c,küçük kutu,karton kutu yeşil katlamalı küçük takı hediye kutusu 25 adet (6 cm x 8 cm x 3 cm) (süngersiz),carton box,hobi & eğlence/hediyelik ürünler/hediye kutusu,unknown,unknown,diğer özellikler:yeşil; menşei:tr,0.6903
7357,TERM_d9aa1978,ITEM_8126415fafcd,küçük kutu,siyah kare sert küçük hediyelik kutu takı saat kutusu 10x10,chanza home,hobi & eğlence/hediyelik ürünler/hediye kutusu,unknown,unknown,,0.6899
7358,TERM_89036e02,ITEM_80ed14da6842,penti termal pijama takımı,toz pembe kayık yaka waffle termal etkili uzun kollu pijama takımı,penti,giyim/ev giyim/pijama/pijama takımı,kadın,yetişkin,sürdürülebilirlik detayı:hayır; kol tipi:standart kol; desen:düz; yaka tipi:kayık yaka,0.8467
7359,TERM_89036e02,ITEM_acbbdc00c76b,penti termal pijama takımı,kız çocuk geniş yaka termal pijama takımı,penti,giyim/ev giyim/pijama/pijama takımı,kadın,çocuk,sürdürülebilirlik detayı:hayır; kol tipi:standart kol; desen:baskılı; yaka tipi:bisiklet yaka,0.8092
7360,TERM_89036e02,ITEM_4907809be8a8,penti termal pijama takımı,light brown termal soft sweatshirt,penti,giyim/üst giyim/sweatshirt,kadın,yetişkin,kutu durumu:kutu yok; kol tipi:standart kol; desen:düz; kalıp:regular,0.7372
7361,TERM_89036e02,ITEM_b1c5d5c8cfac,penti termal pijama takımı,new york woofmas çok renkli pantolon pijama takımı,penti,giyim/ev giyim/pijama/pijama takımı,erkek,yetişkin,sürdürülebilirlik detayı:hayır; kol tipi:standart kol; desen:baskılı; yaka tipi:bisiklet yaka,0.7091
7362,TERM_89036e02,ITEM_1ccc4c907b87,penti termal pijama takımı,aria soft ekru sweatshirt pijama üstü,penti,giyim/ev giyim/pijama/pijama üstü,kadın,yetişkin,yaka tipi:bisiklet yaka; materyal:elastan; kol tipi:standart kol; desen:baskılı,0.7065
7363,TERM_667b4a67,ITEM_d3c2e5fafa8b,antrenman ayakkabısı,kadın antreman ve koşu ayakkabısı,adidas,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,erkek,yetişkin,bağlama şekli:bağcıklı; dış materyal:suni deri; renk:beyaz; taban materyali:pvc,0.7869
7364,TERM_667b4a67,ITEM_c9e80270e3de,antrenman ayakkabısı,erkek koşu antreman ayakkabısı,nike,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,unisex,yetişkin,bağlama şekli:bağcıklı; dış materyal:tekstil; renk:siyah; taban materyali:eva,0.7374
7365,TERM_667b4a67,ITEM_1d94f3c9a5cc,antrenman ayakkabısı,koşu & antrenman ayakkabısı,nike,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,unisex,yetişkin,bağlama şekli:bağcıklı; dış materyal:tekstil; renk:lacivert; saya materyali:tekstil,0.7265
7366,TERM_667b4a67,ITEM_c8d2b668f2ba,antrenman ayakkabısı,unisex koşu antraman ayakkabısı,hummel,ayakkabı/spor ayakkabı/sneaker,erkek,yetişkin,taban tipi:düz taban; koleksiyon:basic; dış materyal:suni deri; bağlama şekli:bağcıklı,0.723
7367,TERM_667b4a67,ITEM_9a3e6aa0cdb9,antrenman ayakkabısı,unisex koşu anteraman ayakkabısı,hummel,ayakkabı/spor ayakkabı/koşu & antrenman ayakkabısı,unisex,yetişkin,bağlama şekli:bağcıklı; dış materyal:tekstil; renk:çok renkli; taban materyali:eva,0.718
7368,TERM_41759854,ITEM_6bf39a8639f1,adidas kadın spor ayakkabı gazelle,gazelle ayakkabı,adidas,ayakkabı/spor ayakkabı/sneaker,kadın,yetişkin,taban tipi:düz taban; dış materyal:süet; bağlama şekli:bağcıklı; renk:kahverengi,0.9769
7369,TERM_41759854,ITEM_1ab2f2b422ee,adidas kadın spor ayakkabı gazelle,gazelle ayakkabı,adidas,ayakkabı/spor ayakkabı/sneaker,unisex,çocuk,taban tipi:düz taban; dış materyal:tekstil; bağlama şekli:bağcıklı; renk:yeşil,0.9769
7370,TERM_41759854,ITEM_80540dffd14d,adidas kadın spor ayakkabı gazelle,gazelle ayakkabı,adidas,ayakkabı/spor ayakkabı/sneaker,kadın,yetişkin,dış materyal:tekstil; bağlama şekli:bağcıklı; renk:çok renkli; materyal:tekstil,0.9769
7371,TERM_41759854,ITEM_c5380f3e6572,adidas kadın spor ayakkabı gazelle,gazelle günlük spor ayakkabısı,adidas,ayakkabı/spor ayakkabı/yürüyüş ayakkabısı,erkek,yetişkin,dış materyal:süet; bağlama şekli:bağcıklı; iç taban materyali:tekstil; taban materyali:kauçuk,0.9628
7372,TERM_41759854,ITEM_d0488294c03c,adidas kadın spor ayakkabı gazelle,kadın günlük sneaker ayakkabı gazelle,adidas,ayakkabı/spor ayakkabı/sneaker,kadın,yetişkin,taban tipi:düz taban; dış materyal:süet; bağlama şekli:bağcıklı; renk:beyaz,0.9584
7373,TERM_bf268475,ITEM_879c842d4367,chelsea kadın bot,hakiki deri kauçuk taban chelsea kadın bot,bulls & gulls,ayakkabı/bot & çizme/bot & bootie,kadın,yetişkin,desen:düz; kutu durumu:kutulu; kullanım alanı:günlük; saya materyali:hakiki deri,0.8383
7374,TERM_bf268475,ITEM_5f3c178dcef8,chelsea kadın bot,hakiki deri kauçuk taban kadın chelsea bot,bulls & gulls,ayakkabı/bot & çizme/bot & bootie,kadın,yetişkin,desen:düz; kutu durumu:kutulu; kullanım alanı:günlük; saya materyali:hakiki deri,0.8357
7375,TERM_bf268475,ITEM_c8a5ac82f723,chelsea kadın bot,chelsea bot,pull & bear,ayakkabı/bot & çizme/bot & bootie,erkek,yetişkin,desen:düz; kullanım alanı:outdoor; saya materyali:rugan; bağlama şekli:slip-on,0.8196
7376,TERM_bf268475,ITEM_05e79b81ff22,chelsea kadın bot,hakiki deri kadın chelsea bot 360,rouge,ayakkabı/bot & çizme/bot & bootie,kadın,yetişkin,desen:düz; kullanım alanı:günlük; saya materyali:hakiki deri; bağlama şekli:bağcıksız,0.8193
7377,TERM_bf268475,ITEM_30c723173adf,chelsea kadın bot,siyah kadın chelsea deri bot,dıvarese,ayakkabı/bot & çizme/bot & bootie,kadın,yetişkin,desen:düz; saya materyali:eva; bağlama şekli:bağcıksız; materyal:hakiki deri,0.8169
7378,TERM_ec3ed4ad,ITEM_051dcc6693ef,erkek siyah kazak,slim fit siyah kazak,twn,giyim/üst giyim/kazak & hırka/kazak,erkek,yetişkin,desen:düz; kalıp:slim fit; yaka tipi:bisiklet yaka; kumaş tipi:dokuma,0.8261
7379,TERM_ec3ed4ad,ITEM_0ee6874cff9e,erkek siyah kazak,erkek gece siyahı boğazlı triko lycra kazak,catspy,giyim/üst giyim/kazak & hırka/kazak,erkek,yetişkin,desen:düz; kalıp:slim; yaka tipi:balıkçı yaka; kumaş tipi:triko,0.7865
7380,TERM_ec3ed4ad,ITEM_1570b4e46059,erkek siyah kazak,erkek siyah tüylenme yapmayan anti-pilling standart fit normal kesim bisiklet yaka triko kazak,altinyildiz classics,giyim/üst giyim/kazak & hırka/kazak,erkek,yetişkin,desen:düz; kalıp:regular; yaka tipi:bisiklet yaka; kumaş tipi:triko,0.7851
7381,TERM_ec3ed4ad,ITEM_54d62faeff1b,erkek siyah kazak,erkek siyah kazak,koton,giyim/üst giyim/kazak & hırka/kazak,erkek,yetişkin,desen:düz; kalıp:slim; yaka tipi:bisiklet yaka; kumaş tipi:triko,0.7831
7382,TERM_ec3ed4ad,ITEM_d40811cc2138,erkek siyah kazak,siyah slim fit yarım balıkçı yaka erkek triko kazak 6343,madmext,giyim/üst giyim/kazak & hırka/kazak,erkek,yetişkin,desen:düz; kalıp:slim fit; yaka tipi:yarım balıkçı yaka; kumaş tipi:triko,0.7825
7383,TERM_44b48006,ITEM_f1228e9c12d3,tesettür abiye elbise nişanlık,nişanlık,fatmamoda,giyim/abiye & mezuniyet elbisesi,kadın,genç,materyal:tül; kumaş tipi:dantel; kol tipi:askılı; kalıp:slim fit,0.7991
7384,TERM_44b48006,ITEM_424761525ef8,tesettür abiye elbise nişanlık,kadın tesettür düğün & nişan& mezuniyet elbisesi,tane,giyim/abiye & mezuniyet elbisesi,kadın,genç,materyal:saten; kumaş tipi:belirtilmemiş; kol tipi:uzun kol; kalıp:regular,0.7906
7385,TERM_44b48006,ITEM_162fe03de46d,tesettür abiye elbise nişanlık,taşlı kabarık tesettür abiye nişanlık,moda,giyim/tesettür giyim/tesettür abiye,kadın,yetişkin,koleksiyon:tesettür giyim; yaka tipi:dik yaka; kutu durumu:kutulu; sürdürülebilirlik detayı:hayır,0.7688
7386,TERM_44b48006,ITEM_b380fbc751b1,tesettür abiye elbise nişanlık,turkuaz a-line tesettür abiye nişanlık,gönül moda,giyim/tesettür giyim/tesettür abiye,kadın,yetişkin,sürdürülebilirlik detayı:hayır; koleksiyon:tesettür giyim; yaka tipi:dik yaka; siluet:a-line,0.7663
7387,TERM_44b48006,ITEM_35b7234d0629,tesettür abiye elbise nişanlık,6943 uzun kol işlemeli tesettür nişanlık abiye elbise,fistan,giyim/abiye & mezuniyet elbisesi,kadın,yetişkin,kumaş tipi:dantel; kol tipi:uzun kol; kalıp:slim; desen:nakışlı / işlemeli,0.7548
7388,TERM_a792de0c,ITEM_5eaa16f1744c,gülşah evecen elbise,özel tasarım simli siyah mini elbise,gülşah evecen,giyim/abiye & mezuniyet elbisesi,kadın,yetişkin,kumaş tipi:dokuma; kol tipi:askılı; kalıp:slim fit; desen:düz,0.83
7389,TERM_a792de0c,ITEM_6016e56f9317,gülşah evecen elbise,simli kalp detay degaje yaka elbise (bralet dahildir.),gülşah evecen,giyim/abiye & mezuniyet elbisesi,kadın,yetişkin,materyal:dokuma; kumaş tipi:dokuma; kol tipi:kolsuz; kalıp:slim,0.8171
