term_id,item_id,label
TERM_00065254,ITEM_3168be9ac3d7,0
TERM_00065254,ITEM_8d61b501d472,0
TERM_00065254,ITEM_2bae42e40457,0
TERM_00065254,ITEM_b7f8ab833964,0
TERM_00065254,ITEM_37b1101ffab8,0
TERM_00065254,ITEM_56b812f6aee3,0
TERM_00065254,ITEM_6498820f78fd,0
TERM_00065254,ITEM_bbabf48a2628,0
TERM_00065254,ITEM_f072c126738f,0
TERM_00065254,ITEM_8ba1df98a1a6,0
TERM_000e6a73,ITEM_be0a083fb211,0
TERM_000e6a73,ITEM_1c53e6a38c0d,0
TERM_000e6a73,ITEM_ead08d13fd48,0
TERM_000e6a73,ITEM_1fc66024f6e1,0
TERM_000e6a73,ITEM_b1e4a5642daf,0
TERM_000e6a73,ITEM_e984e1603c89,0
TERM_000e6a73,ITEM_2169d6fbd8e0,0
TERM_000e6a73,ITEM_3c1174f3f3e5,0
TERM_000e6a73,ITEM_cbc45438490b,0
TERM_000e6a73,ITEM_9ddbe9519345,0
TERM_00114a19,ITEM_96d097d75126,0
TERM_00114a19,ITEM_4641c9a30b82,0
TERM_00114a19,ITEM_ad2a87755e51,0
TERM_00114a19,ITEM_b4b938101d79,0
TERM_00114a19,ITEM_fc83837b9fb5,0
TERM_00114a19,ITEM_b6928a11c32b,0
TERM_00114a19,ITEM_72bbecc3ec8d,0
TERM_00114a19,ITEM_1a74ee78c85f,0
TERM_00114a19,ITEM_ce27652b2bb0,0
TERM_00114a19,ITEM_fdfcd9f2838a,0
TERM_0019aa2a,ITEM_e6fdda0fbbc7,0
TERM_0019aa2a,ITEM_50e51fcae7bc,0
TERM_0019aa2a,ITEM_22157c707e90,0
TERM_0019aa2a,ITEM_6a360abd688b,0
TERM_0019aa2a,ITEM_084d6d339e98,0
TERM_0019aa2a,ITEM_c8093ee6af2f,0
TERM_0019aa2a,ITEM_159ed7c7d060,0
TERM_0019aa2a,ITEM_27654ec068a7,0
TERM_0019aa2a,ITEM_7bcd04d7d475,0
TERM_0019aa2a,ITEM_c00a8b04000e,0
TERM_001a453a,ITEM_385a96151eb6,0
TERM_001a453a,ITEM_159a9ed0e01b,0
TERM_001a453a,ITEM_1e5de20d8eb8,0
TERM_001a453a,ITEM_8b449d57ed5d,0
TERM_001a453a,ITEM_7af25e7eb76c,0
TERM_001a453a,ITEM_2f0632ebaf94,0
TERM_001a453a,ITEM_9f37eaa559b3,0
TERM_001a453a,ITEM_956b3034ace1,0
TERM_001a453a,ITEM_c2874d9a48e7,0
TERM_001a453a,ITEM_a8c34c463bbf,0
TERM_001dfd42,ITEM_3ffb88f49e1b,0
TERM_001dfd42,ITEM_81ce4f3de970,0
TERM_001dfd42,ITEM_07c055c5afba,0
TERM_001dfd42,ITEM_0a76789543d9,0
TERM_001dfd42,ITEM_69916db3c380,0
TERM_001dfd42,ITEM_64bfbe7c7380,0
TERM_001dfd42,ITEM_1cd501a92da2,0
TERM_001dfd42,ITEM_fb434e10bf58,0
TERM_001dfd42,ITEM_6aac6806c8cf,0
TERM_001dfd42,ITEM_2b0e4378c935,0
TERM_00209282,ITEM_d556c3848fd5,0
TERM_00209282,ITEM_391d34168422,0
TERM_00209282,ITEM_c0e7c5bdb8ed,0
TERM_00209282,ITEM_24126c2757f9,0
TERM_00209282,ITEM_d156865280b2,0
TERM_00209282,ITEM_b2e5860b65db,0
TERM_00209282,ITEM_23ccf2197f3e,0
TERM_00209282,ITEM_4d7d3cb0f46e,0
TERM_00209282,ITEM_2805dbc413f3,0
TERM_00209282,ITEM_2369e9d1280d,0
TERM_00247623,ITEM_a1a48123ba13,0
TERM_00247623,ITEM_409ac07043d1,0
TERM_00247623,ITEM_4a8c911d3700,0
TERM_00247623,ITEM_5ca12b5e195e,0
TERM_00247623,ITEM_6547eff86d58,0
TERM_00247623,ITEM_c4543917ea9a,0
