pair_id,verdict,reason
6300,1,banyo askısı directly matches query
6301,1,banyo askısı directly matches query
6302,1,banyo askısı directly matches query (diff color)
6303,1,erbaşlar brand kahvaltı takımı matches
6304,1,erbaşlar brand kahvaltı takımı matches
6305,1,erbaşlar brand kahvaltı takımı matches
6306,1,ers erbaşlar kahvaltı takımı matches
6307,1,erbaşlar brand kahvaltı takımı matches
6308,0,apocalypse speaker but 20cm not 16cm as queried
6309,0,apocalypse speaker but 20cm not 16cm as queried
6310,0,apocalypse speaker but 20cm not 16cm as queried
6311,0,apocalypse speaker but 20cm not 16cm as queried
6312,0,13cm speaker brand machete not 16cm apocalypse
6313,1,güneş gözlüğü matches query
6314,1,güneş gözlüğü matches query
6315,1,güneş gözlüğü matches query
6316,1,güneş gözlüğü matches query
6317,1,güneş gözlüğü matches query
6318,1,sebze meyve sepeti matches query
6319,1,sebzelik meyvelik sepeti matches query
6320,1,sebzelik meyvelik organizer matches query
6321,1,meyve sebze sepeti matches query
6322,1,multi-use sebzelik meyvelik sepet matches query
6323,1,fbzhome banyo düzenleyici brand and category match
6324,1,fbzhome banyo düzenleyici brand and category match
6325,1,fbzhome banyo düzenleyici brand and category match
6326,1,fbzhome banyo düzenleyici brand and category match
6327,1,fbzhome banyo düzenleyici brand and category match
6328,1,iphone 11 kırılmaz ekran koruyucu matches exactly
6329,0,iphone 11 PRO screen protector not iphone 11
6330,0,iphone 11 pro max screen protector not iphone 11
6331,1,iphone 11 kırılmaz ekran koruyucu matches exactly
6332,1,iphone 11 compatible screen protector matches
6333,1,hamile tesettür elbise matches query
6334,1,hamile tesettür elbise matches query
6335,1,tesettüre uygun hamile elbise matches query
6336,1,tesettüre uygun hamile elbise matches query
6337,1,hamile tesettür tunik elbise matches query
6338,1,revolution brand allık matches query
6339,1,revolution brand allık matches query
6340,1,revolution brand allık matches query
6341,1,revolution pro brand allık matches query
6342,1,revolution brand allık matches query
6343,0,brand is linktech not S-Link as queried
6344,0,brand is linktech not S-Link as queried
6345,0,brand is linktech not S-Link as queried
6346,0,brand is linktech not S-Link as queried
6347,0,brand is linktech not S-Link as queried
6348,1,stoper kapı stoperi matches query
6349,1,stoper kapı stoperi matches query
6350,1,title explicitly says kapı stoperi matching query
6351,1,stoper kapı stoperi matches query
6352,1,stoper kapı stoperi matches query
6353,1,tuz değirmen matches query
6354,1,tuz karabiber değirmeni matches query
6355,1,tuz karabiber değirmeni matches query
6356,1,tuz öğütücü değirmen matches query
6357,1,tuz karabiber değirmeni matches query
6358,1,seramik kaplama for cars matches query
6359,1,seramik kaplama for cars matches query
6360,0,wall/floor ceramic panel not car ceramic coating
6361,1,araç seramik kaplama matches query
6362,1,car ceramic coating product matches query
6363,1,eşofman üstü matches query
6364,1,eşofman üstü matches query
6365,1,kapüşonlu eşofman üstü matches query
6366,1,eşofman üstü matches query
6367,1,eşofman üstü matches query
6368,1,Tigger plush toy character matches query
6369,0,Tiger watch brand not Tigger character
